Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
BATHROOM METAL SIGN,2,386,3016.9500000000003,1,5,5,155,Inactive product or newly launched
BATHROOM METAL SIGN ,130,60,566.8,4,3,3,433,Potential products
BATHROOM SCALES FOOTPRINTS IN SAND,16,20,172.05,3,2,2,322,Inactive product or newly launched
BATHROOM SCALES RUBBER DUCKS,16,19,139.35,3,2,2,322,Inactive product or newly launched
"BATHROOM SCALES, TROPICAL BEACH",26,10,60.0,4,2,1,421,Inactive product or newly launched
BATHROOM SET LOVE HEART DESIGN,121,11,191.0,4,2,2,422,Inactive product or newly launched
BEACH HUT DESIGN BLACKBOARD,211,8,144.5,5,2,2,522,Inactive product or newly launched
BEACH HUT KEY CABINET,202,9,78.75,5,2,2,522,Inactive product or newly launched
BEACH HUT MIRROR,152,8,66.39,5,2,1,521,Inactive product or newly launched
BEACH HUT SHELF W 3 DRAWERS,26,20,376.5,4,2,3,423,Inactive product or newly launched
BEADED CHANDELIER T-LIGHT HOLDER,24,34,1298.44,4,3,4,434,Potential products
BEADED CRYSTAL HEART BLUE  LARGE,2,44,424.06,1,3,3,133,Inactive product or newly launched
BEADED CRYSTAL HEART BLUE ON STICK,25,11,78.71,4,2,2,422,Inactive product or newly launched
BEADED CRYSTAL HEART BLUE SMALL,30,12,99.88,4,2,2,422,Inactive product or newly launched
BEADED CRYSTAL HEART GREEN LARGE,2,50,707.7,1,3,3,133,Inactive product or newly launched
BEADED CRYSTAL HEART GREEN ON STICK,4,13,120.38,2,2,2,222,Inactive product or newly launched
BEADED CRYSTAL HEART GREEN SMALL,4,16,124.11,2,2,2,222,Inactive product or newly launched
BEADED CRYSTAL HEART PINK LARGE,2,52,526.38,1,3,3,133,Inactive product or newly launched
BEADED CRYSTAL HEART PINK ON STICK,4,12,113.09,2,2,2,222,Inactive product or newly launched
BEADED CRYSTAL HEART PINK SMALL,4,34,240.13,2,3,2,232,Potential products
BEADED LOVE HEART JEWELLERY SET,370,1,8.5,5,1,1,511,Inactive product or newly launched
BEADED PEARL HEART WHITE LARGE,200,10,127.04999999999998,5,2,2,522,Inactive product or newly launched
BEADED PEARL HEART WHITE ON STICK,40,25,462.17,4,2,3,423,Inactive product or newly launched
BELL HEART ANTIQUE GOLD,162,1,24.96,5,1,1,511,Inactive product or newly launched
BELL HEART DECORATION,89,9,387.0,4,2,3,423,Inactive product or newly launched
BELLE JARDINIERE CUSHION COVER,1,176,2555.73,1,5,4,154,Inactive product or newly launched
BEST DAD CANDLE LETTERS,55,8,26.349999999999998,4,2,1,421,Inactive product or newly launched
BEWARE OF THE CAT METAL SIGN ,4,365,6401.93,2,5,5,255,Potential products
BICYCLE PUNCTURE REPAIR KIT ,1,110,3336.7200000000003,1,4,5,145,Inactive product or newly launched
BICYCLE SAFTEY WALL ART,12,39,2371.94,3,3,4,334,Potential products
BIG DOUGHNUT FRIDGE MAGNETS,2,87,1076.1,1,4,4,144,Inactive product or newly launched
BIG POLKADOT MUG,263,1,2.34,5,1,1,511,Inactive product or newly launched
BILI NUT AND WOOD NECKLACE,15,5,48.0,3,1,1,311,Inactive product or newly launched
BINGO SET,5,280,5718.21,3,5,5,355,Selling consistently
BIRD BOX CHRISTMAS TREE DECORATION,361,5,18.7,5,1,1,511,Inactive product or newly launched
BIRD DECORATION GREEN POLKADOT,30,37,331.5,4,3,2,432,Potential products
BIRD DECORATION RED RETROSPOT,15,57,625.5999999999999,3,3,3,333,Potential products
BIRD HOUSE HOT WATER BOTTLE,1,162,1562.06,1,5,4,154,Inactive product or newly launched
BIRD ON BRANCH CANVAS SCREEN,142,1,21.45,5,1,1,511,Inactive product or newly launched
BIRDCAGE DECORATION TEALIGHT HOLDER,1,69,761.57,1,3,3,133,Inactive product or newly launched
BIRDHOUSE DECORATION MAGIC GARDEN,10,74,642.94,3,4,3,343,Selling consistently
BIRDHOUSE GARDEN MARKER ,3,76,1929.35,2,4,4,244,Potential products
BIRDS MOBILE VINTAGE DESIGN,1,69,1100.21,1,3,4,134,Inactive product or newly launched
BIRTHDAY BANNER TAPE,355,1,30.0,5,1,1,511,Inactive product or newly launched
BIRTHDAY BANQUET GIFT WRAP,4,32,393.5,2,3,3,233,Potential products
"BIRTHDAY CARD, RETRO SPOT",1,126,758.88,1,4,3,143,Inactive product or newly launched
BIRTHDAY PARTY CORDON BARRIER TAPE,2,82,548.63,1,4,3,143,Inactive product or newly launched
BISCUIT TIN 50'S CHRISTMAS,1,271,5760.52,1,5,5,155,Inactive product or newly launched
BISCUIT TIN VINTAGE CHRISTMAS,1,234,4567.38,1,5,5,155,Inactive product or newly launched
BISCUIT TIN VINTAGE GREEN,10,114,2685.13,3,4,5,345,Selling consistently
BISCUIT TIN VINTAGE LEAF,142,3,64.56,5,1,1,511,Inactive product or newly launched
BISCUIT TIN VINTAGE RED,10,146,3609.8,3,4,5,345,Selling consistently
BISCUITS SMALL BOWL LIGHT BLUE,83,79,440.94,4,4,3,443,Selling consistently
BLACK 3 BEAD DROP EARRINGS,77,1,17.700000000000003,4,1,1,411,Inactive product or newly launched
BLACK AND WHITE CAT BOWL,12,43,2661.8999999999996,3,3,4,334,Potential products
BLACK AND WHITE DOG BOWL,63,48,2578.78,4,3,4,434,Potential products
BLACK BAROQUE CARRIAGE CLOCK,4,7,149.67,2,1,2,212,Inactive product or newly launched
BLACK BAROQUE WALL CLOCK ,16,14,333.6,3,2,2,322,Inactive product or newly launched
BLACK BIRD GARDEN DESIGN MUG,26,16,46.11,4,2,1,421,Inactive product or newly launched
BLACK CANDELABRA T-LIGHT HOLDER,57,38,702.8000000000001,4,3,3,433,Potential products
BLACK CHAMPAGNE GLASS,83,33,621.87,4,3,3,433,Potential products
BLACK CHERRY LIGHTS,301,1,54.0,5,1,1,511,Inactive product or newly launched
BLACK CHRISTMAS FLOCK DROPLET ,362,1,30.0,5,1,1,511,Inactive product or newly launched
BLACK CHRISTMAS TREE 120CM,6,23,503.85,3,2,3,323,Inactive product or newly launched
BLACK CHRISTMAS TREE 60CM,9,22,433.70000000000005,3,2,3,323,Inactive product or newly launched
BLACK CHUNKY BEAD BRACELET W STRAP,29,7,98.44999999999999,4,1,2,412,Inactive product or newly launched
BLACK CRYSTAL DROP EARRINGS,94,2,20.650000000000002,4,1,1,411,Inactive product or newly launched
BLACK DIAMANTE EXPANDABLE RING,77,5,89.25,4,1,2,412,Inactive product or newly launched
BLACK DIAMOND CLUSTER NECKLACE,72,1,17.9,4,1,1,411,Inactive product or newly launched
BLACK DINER WALL CLOCK,156,33,450.5,5,3,3,533,Potential products
BLACK DROP CRYSTAL NECKLACE,27,2,35.400000000000006,4,1,1,411,Inactive product or newly launched
BLACK DROP EARRINGS W LONG BEADS,281,1,2.95,5,1,1,511,Inactive product or newly launched
BLACK EAR MUFF HEADPHONES,15,18,192.86,3,2,2,322,Inactive product or newly launched
BLACK ENAMEL FLOWER RING,5,10,188.8,3,2,2,322,Inactive product or newly launched
BLACK ENCHANTED FOREST PLACEMAT,8,42,893.25,3,3,3,333,Potential products
BLACK FEATHER CHRISTMAS DECORATION,86,7,18.240000000000002,4,1,1,411,Inactive product or newly launched
BLACK FINE BEAD NECKLACE W TASSEL,369,1,5.95,5,1,1,511,Inactive product or newly launched
BLACK FLOWER CANDLE PLATE,340,2,5.949999999999999,5,1,1,511,Inactive product or newly launched
BLACK GEMSTONE BRACELET,30,3,20.849999999999998,4,1,1,411,Inactive product or newly launched
BLACK GEMSTONE NECKLACE 45CM,30,4,51.0,4,1,1,411,Inactive product or newly launched
BLACK GLASS BRACELET W HEART CHARMS,319,1,14.850000000000001,5,1,1,511,Inactive product or newly launched
BLACK GRAND BAROQUE PHOTO FRAME,246,7,93.0,5,1,2,512,Inactive product or newly launched
BLACK HEART CARD HOLDER,1,166,12257.95,1,5,5,155,Inactive product or newly launched
BLACK KITCHEN SCALES,1,183,4134.03,1,5,5,155,Inactive product or newly launched
BLACK LOVE BIRD CANDLE,9,25,191.49,3,2,2,322,Inactive product or newly launched
BLACK LOVE BIRD T-LIGHT HOLDER,25,13,247.46,4,2,2,422,Inactive product or newly launched
BLACK MEDIUM GLASS CAKE STAND,246,8,37.11,5,2,1,521,Inactive product or newly launched
BLACK MINI TAPE MEASURE ,3,30,121.3,2,3,2,232,Potential products
BLACK ORANGE SQUEEZER,10,21,57.96,3,2,1,321,Inactive product or newly launched
BLACK PHOTO ALBUM ,236,3,7.5,5,1,1,511,Inactive product or newly launched
BLACK PIRATE TREASURE CHEST,1,82,502.37999999999994,1,4,3,143,Inactive product or newly launched
BLACK RECORD COVER FRAME,1,314,39045.8,1,5,5,155,Inactive product or newly launched
BLACK SIL'T SQU CANDLE PLATE ,1,2,33.6,1,1,1,111,Inactive product or newly launched
BLACK SILOUETTE CANDLE PLATE,1,20,116.44999999999999,1,2,2,122,Inactive product or newly launched
BLACK SMALL GLASS CAKE STAND,234,12,54.99,5,2,1,521,Inactive product or newly launched
BLACK SQUARE TABLE CLOCK,3,12,225.48999999999998,2,2,2,222,Inactive product or newly launched
BLACK STITCHED WALL CLOCK,99,29,684.65,4,3,3,433,Potential products
BLACK SWEETHEART BRACELET,2,24,284.75,1,2,2,122,Inactive product or newly launched
BLACK TEA TOWEL CLASSIC DESIGN,1,86,607.74,1,4,3,143,Inactive product or newly launched
"BLACK TEA,COFFEE,SUGAR JARS",5,45,779.4499999999999,3,3,3,333,Potential products
BLACK VINT ART DEC CRYSTAL BRACELET,30,1,6.75,4,1,1,411,Inactive product or newly launched
BLACK VINT ART DEC CRYSTAL NECKLACE,37,5,68.0,4,1,1,411,Inactive product or newly launched
BLACK VINTAGE  CRYSTAL EARRINGS,61,6,41.25,4,1,1,411,Inactive product or newly launched
BLACK WINE GLASS,32,20,697.62,4,2,3,423,Inactive product or newly launched
BLACK+WHITE NECKLACE W TASSEL,47,5,87.35,4,1,2,412,Inactive product or newly launched
BLACK/BLUE POLKADOT UMBRELLA,4,256,6361.990000000001,2,5,5,255,Potential products
BLACK/WHITE GLASS/SILVER BRACELET,244,3,62.64999999999999,5,1,1,511,Inactive product or newly launched
BLACKCHRISTMAS TREE 30CM,369,1,1.25,5,1,1,511,Inactive product or newly launched
BLING KEY RING STAND,3,3,6.25,2,1,1,211,Inactive product or newly launched
BLOND DOLL DOORSTOP,16,14,141.75,3,2,2,322,Inactive product or newly launched
BLOSSOM  IMAGES NOTEBOOK SET,2,25,640.5,1,2,3,123,Inactive product or newly launched
BLOSSOM IMAGES GIFT WRAP SET,2,93,655.8000000000001,1,4,3,143,Inactive product or newly launched
BLOSSOM IMAGES SCRAP BOOK SET,358,1,4.95,5,1,1,511,Inactive product or newly launched
BLUE  DIAMANTE PEN IN GIFT BOX,3,21,271.8,2,2,2,222,Inactive product or newly launched
BLUE  TILE HOOK,4,16,213.14999999999998,2,2,2,222,Inactive product or newly launched
BLUE  VOILE LAMPSHADE,33,9,234.5,4,2,2,422,Inactive product or newly launched
BLUE & WHITE BREAKFAST TRAY,174,21,209.55,5,2,2,522,Inactive product or newly launched
BLUE 3 PIECE POLKADOT CUTLERY SET,212,97,4213.34,5,4,5,545,MVP
BLUE BIRDHOUSE DECORATION,1,38,223.3,1,3,2,132,Inactive product or newly launched
BLUE BLOSSOM HAIR CLIP,77,6,67.2,4,1,1,411,Inactive product or newly launched
BLUE BREAKFAST CUP AND SAUCER ,257,3,11.8,5,1,1,511,Inactive product or newly launched
BLUE BUNNY EASTER EGG BASKET,2,3,230.24999999999997,1,1,2,112,Inactive product or newly launched
BLUE CALCULATOR RULER,1,61,543.01,1,3,3,133,Inactive product or newly launched
BLUE CAT BISCUIT BARREL PINK HEART,143,9,111.14999999999999,5,2,2,522,Inactive product or newly launched
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,4,92,512.8000000000001,2,4,3,243,Potential products
BLUE CHECK BAG W HANDLE 34X20CM,205,5,14.11,5,1,1,511,Inactive product or newly launched
BLUE CHENILLE SHAGGY CUSHION COVER ,26,12,43.15,4,2,1,421,Inactive product or newly launched
BLUE CIRCLES DESIGN MONKEY DOLL,48,26,160.64999999999998,4,2,2,422,Inactive product or newly launched
BLUE CIRCLES DESIGN TEDDY,22,20,130.04999999999998,3,2,2,322,Inactive product or newly launched
BLUE CLIMBING HYDRANGA ART FLOWER,2,3,52.5,1,1,1,111,Inactive product or newly launched
BLUE COAT RACK PARIS FASHION,1,135,1974.69,1,4,4,144,Inactive product or newly launched
BLUE CRUSOE CHECK LAMPSHADE,143,3,3.78,5,1,1,511,Inactive product or newly launched
BLUE CUSHION COVER WITH FLOWER,184,9,201.55,5,2,2,522,Inactive product or newly launched
BLUE DAISY MOBILE,11,12,138.76,3,2,2,322,Inactive product or newly launched
BLUE DELPHINIUM ARTIFICIAL FLOWER,2,6,188.37000000000003,1,1,2,112,Inactive product or newly launched
BLUE DINER WALL CLOCK,1,338,7528.93,1,5,5,155,Inactive product or newly launched
BLUE DISCO HANDBAG,15,10,60.68,3,2,1,321,Inactive product or newly launched
BLUE DRAGONFLY HELICOPTER,22,35,373.65000000000003,3,3,3,333,Potential products
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1,122,1906.68,1,4,4,144,Inactive product or newly launched
BLUE EASTER EGG HUNT START POST,262,4,15.6,5,1,1,511,Inactive product or newly launched
BLUE EGG  SPOON,4,71,258.71999999999997,2,4,2,242,Potential products
BLUE FELT EASTER EGG BASKET,264,66,577.4999999999999,5,3,3,533,Potential products
BLUE FELT HANGING HEART WITH FLOWER,111,1,5.1,4,1,1,411,Inactive product or newly launched
BLUE FLOCK CUSHION COVER ,185,2,12.5,5,1,1,511,Inactive product or newly launched
BLUE FLOCK GLASS CANDLEHOLDER,154,10,259.96,5,2,2,522,Inactive product or newly launched
BLUE FLOWER DES PURSE,191,6,43.66,5,1,1,511,Inactive product or newly launched
BLUE FLY SWAT,4,42,114.21000000000001,2,3,2,232,Potential products
BLUE GEISHA GIRL ,98,10,75.0,4,2,2,422,Inactive product or newly launched
BLUE GIANT GARDEN THERMOMETER,43,163,2511.7200000000003,4,5,4,454,MVP
BLUE GINGHAM ROSE CUSHION COVER,359,1,11.9,5,1,1,511,Inactive product or newly launched
BLUE GLASS CHUNKY CHARM BRACELET,22,6,80.55,3,1,2,312,Inactive product or newly launched
BLUE GLASS GEMS IN BAG,30,19,291.25,4,2,2,422,Inactive product or newly launched
BLUE GREEN EMBROIDERY COSMETIC BAG,11,3,11.690000000000001,3,1,1,311,Inactive product or newly launched
BLUE HANGING GINGHAM EASTER HEN,227,5,13.44,5,1,1,511,Inactive product or newly launched
BLUE HAPPY BIRTHDAY BUNTING,7,355,10096.62,3,5,5,355,Selling consistently
BLUE HARMONICA IN BOX ,1,524,9218.88,1,5,5,155,Inactive product or newly launched
BLUE HEART COMPACT MIRROR,89,12,187.5,4,2,2,422,Inactive product or newly launched
BLUE HOLE PUNCH,40,7,16.25,4,1,1,411,Inactive product or newly launched
BLUE JUICY FRUIT PHOTO FRAME,33,29,209.1,4,3,2,432,Potential products
BLUE KNITTED EGG COSY,241,25,81.50999999999999,5,2,2,522,Inactive product or newly launched
BLUE KNITTED HEN ,256,14,150.14999999999998,5,2,2,522,Inactive product or newly launched
BLUE LEAVES AND BEADS PHONE CHARM,371,1,1.25,5,1,1,511,Inactive product or newly launched
BLUE MONTE CARLO HANDBAG,141,1,46.8,5,1,1,511,Inactive product or newly launched
BLUE MURANO TWIST BRACELET,22,5,85.0,3,1,2,312,Inactive product or newly launched
BLUE MURANO TWIST NECKLACE,199,3,39.8,5,1,1,511,Inactive product or newly launched
BLUE NETTING STORAGE HANGER,69,7,15.6,4,1,1,411,Inactive product or newly launched
BLUE NEW BAROQUE CANDLESTICK CANDLE,73,28,478.15,4,3,3,433,Potential products
BLUE NEW BAROQUE FLOCK CANDLESTICK,367,1,4.65,5,1,1,511,Inactive product or newly launched
BLUE ORGANDY ROUND LAMPSHADE W BEA,17,4,10.2,3,1,1,311,Inactive product or newly launched
BLUE OWL SOFT TOY,40,100,1420.4,4,4,4,444,MVP
BLUE PADDED SOFT MOBILE,240,1,4.25,5,1,1,511,Inactive product or newly launched
BLUE PAINTED KASHMIRI CHAIR,127,1,149.85000000000002,4,1,2,412,Inactive product or newly launched
BLUE PAISLEY JOURNAL ,3,58,534.3199999999999,2,3,3,233,Potential products
BLUE PAISLEY NOTEBOOK,88,24,92.39999999999999,4,2,2,422,Inactive product or newly launched
BLUE PAISLEY POCKET BOOK,3,50,247.35,2,3,2,232,Potential products
BLUE PAISLEY SKETCHBOOK,3,52,408.67,2,3,3,233,Potential products
BLUE PAISLEY TISSUE BOX,2,88,311.56,1,4,2,142,Inactive product or newly launched
BLUE PAPER PARASOL ,72,48,865.6500000000001,4,3,3,433,Potential products
BLUE PARTY BAGS ,7,108,2728.94,3,4,5,345,Selling consistently
BLUE PATCH PURSE PINK HEART,293,17,252.79999999999998,5,2,2,522,Inactive product or newly launched
BLUE POLKADOT BEAKER ,36,78,1094.34,4,4,4,444,MVP
BLUE POLKADOT BOWL,1,225,3178.65,1,5,5,155,Inactive product or newly launched
BLUE POLKADOT COFFEE MUG,188,62,826.14,5,3,3,533,Potential products
BLUE POLKADOT CUP,4,217,2484.53,2,5,4,254,Potential products
BLUE POLKADOT EGG CUP ,234,44,445.26,5,3,3,533,Potential products
BLUE POLKADOT GARDEN PARASOL,17,51,1104.6,3,3,4,334,Potential products
BLUE POLKADOT KIDS BAG,4,30,456.35999999999996,2,3,3,233,Potential products
BLUE POLKADOT LUGGAGE TAG ,1,33,191.01,1,3,2,132,Inactive product or newly launched
BLUE POLKADOT PASSPORT COVER,1,35,233.34,1,3,2,132,Inactive product or newly launched
BLUE POLKADOT PLATE ,51,148,3359.47,4,4,5,445,MVP
BLUE POLKADOT PUDDING BOWL,257,8,38.67,5,2,1,521,Inactive product or newly launched
BLUE POLKADOT PURSE ,39,5,35.07,4,1,1,411,Inactive product or newly launched
BLUE POLKADOT WASHING UP GLOVES,12,115,756.0000000000001,3,4,3,343,Selling consistently
BLUE POLKADOT WRAP,2,215,2798.0,1,5,5,155,Inactive product or newly launched
BLUE POT PLANT CANDLE ,1,37,794.45,1,3,3,133,Inactive product or newly launched
BLUE PUDDING SPOON,4,59,132.29999999999998,2,3,2,232,Potential products
BLUE REFECTORY CLOCK ,1,70,1547.95,1,4,4,144,Inactive product or newly launched
BLUE RETRO KITCHEN WALL CLOCK,1,17,285.25,1,2,2,122,Inactive product or newly launched
BLUE ROSE FABRIC MIRROR,4,37,487.34,2,3,3,233,Potential products
BLUE ROSE PATCH PURSE PINK BUTTERFL,295,8,52.8,5,2,1,521,Inactive product or newly launched
BLUE ROUND COMPACT MIRROR,75,11,121.25,4,2,2,422,Inactive product or newly launched
BLUE SAVANNAH PICNIC HAMPER FOR 2,128,17,793.3499999999999,4,2,3,423,Inactive product or newly launched
BLUE SCANDINAVIAN PAISLEY WRAP,15,39,409.5,3,3,3,333,Potential products
BLUE SCOTTIE DOG W FLOWER PATTERN,9,25,334.04999999999995,3,2,3,323,Inactive product or newly launched
BLUE SHARK HELICOPTER,360,2,15.9,5,1,1,511,Inactive product or newly launched
BLUE SPOT CERAMIC DRAWER KNOB,1,290,4971.22,1,5,5,155,Inactive product or newly launched
BLUE SQUARE COMPACT MIRROR,77,8,63.75,4,2,1,421,Inactive product or newly launched
BLUE STONES ON WIRE FOR CANDLE,36,17,29.59,4,2,1,421,Inactive product or newly launched
BLUE STRIPE CERAMIC DRAWER KNOB,1,359,6239.4,1,5,5,155,Inactive product or newly launched
BLUE STRIPES SHOULDER BAG,201,3,7.469999999999999,5,1,1,511,Inactive product or newly launched
BLUE SWEETHEART BRACELET,303,7,85.0,5,1,2,512,Inactive product or newly launched
BLUE TABLE RUN FLOWER,9,11,56.25,3,2,1,321,Inactive product or newly launched
BLUE TEA TOWEL CLASSIC DESIGN,157,48,523.52,5,3,3,533,Potential products
BLUE TEATIME PRINT BOWL ,365,2,12.5,5,1,1,511,Inactive product or newly launched
BLUE TILED TRAY,93,4,54.0,4,1,1,411,Inactive product or newly launched
BLUE TRAVEL FIRST AID KIT,130,7,56.1,4,1,1,411,Inactive product or newly launched
BLUE TV TRAY TABLE ,253,13,175.8,5,2,2,522,Inactive product or newly launched
BLUE VICTORIAN FABRIC OVAL BOX,3,34,293.82,2,3,2,232,Potential products
BLUE VINTAGE SPOT BEAKER,2,164,4528.29,1,5,5,155,Inactive product or newly launched
BLUE WHITE PLASTIC RINGS LAMPSHADE,95,5,11.899999999999999,4,1,1,411,Inactive product or newly launched
BLUE WIRE SPIRAL CANDLE HOLDER,146,5,69.85,5,1,2,512,Inactive product or newly launched
BLUE/CREAM STRIPE CUSHION COVER ,8,99,769.9,3,4,3,343,Selling consistently
BLUE/GREEN SHELL NECKLACE W PENDANT,371,1,5.95,5,1,1,511,Inactive product or newly launched
BLUE/NAT SHELL NECKLACE W PENDANT,298,1,5.95,5,1,1,511,Inactive product or newly launched
BLUE/YELLOW CERAMIC CANDLE HOLDER,144,1,6.6,5,1,1,511,Inactive product or newly launched
BLUE/YELLOW FLOWER DESIGN BIG MUG,19,12,16.77,3,2,1,321,Inactive product or newly launched
BOHEMIAN COLLAGE STATIONERY SET,2,103,675.53,1,4,3,143,Inactive product or newly launched
BOOM BOX SPEAKER BOYS,1,56,740.15,1,3,3,133,Inactive product or newly launched
BOOM BOX SPEAKER GIRLS,1,42,827.15,1,3,3,133,Inactive product or newly launched
BOOZE & WOMEN GREETING CARD ,38,33,187.62,4,3,2,432,Potential products
BOTANICAL GARDENS WALL CLOCK ,1,80,5719.0,1,4,5,145,Inactive product or newly launched
BOTANICAL LAVENDER BIRTHDAY CARD,1,32,158.61,1,3,2,132,Inactive product or newly launched
BOTANICAL LAVENDER GIFT WRAP ,4,19,199.5,2,2,2,222,Inactive product or newly launched
BOTANICAL LILY GIFT WRAP,45,7,105.0,4,1,2,412,Inactive product or newly launched
BOTANICAL LILY GREETING CARD,15,31,151.62,3,3,2,332,Potential products
BOTANICAL ROSE GIFT WRAP,23,28,304.5,3,3,2,332,Potential products
BOTANICAL ROSE GREETING CARD,141,21,141.12,5,2,2,522,Inactive product or newly launched
BOTTLE BAG RETROSPOT ,4,105,1510.89,2,4,4,244,Potential products
BOUDOIR SQUARE TISSUE BOX,1,149,910.08,1,4,3,143,Inactive product or newly launched
BOX OF 24 COCKTAIL PARASOLS,1,370,2808.57,1,5,5,155,Inactive product or newly launched
BOX OF 6 ASSORTED COLOUR TEASPOONS,4,73,1267.99,2,4,4,244,Potential products
BOX OF 6 CHRISTMAS CAKE DECORATIONS,1,164,6155.04,1,5,5,155,Inactive product or newly launched
BOX OF 6 MINI 50'S CRACKERS,1,373,8169.4800000000005,1,5,5,155,Inactive product or newly launched
BOX OF 6 MINI VINTAGE CRACKERS,1,335,8345.43,1,5,5,155,Inactive product or newly launched
BOX OF 9 PEBBLE CANDLES,33,78,851.4,4,4,3,443,Selling consistently
BOX OF VINTAGE ALPHABET BLOCKS,1,231,13035.66,1,5,5,155,Inactive product or newly launched
